Order ID,Ship Mode,Customer ID,Region,Segment,Category,Sub-Category,Product Name,Product ID,Quantity,Revenue,Discount,Profit
CA-2013-161389,Standard Class,IM-15070,West,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,OFF-BI-10003656,3,407.976,0.2,132.5922
US-2012-118983,Standard Class,HP-14815,Central,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",OFF-AP-10002311,5,68.81,0.8,-123.858
US-2012-118983,Standard Class,HP-14815,Central,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI-10000756,3,2.544,0.8,-3.816
CA-2011-105893,Standard Class,PK-19075,Central,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",OFF-ST-10004186,6,665.88,0,13.3176
CA-2011-167164,Second Class,AG-10270,West,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,OFF-ST-10000107,2,55.5,0,9.99
CA-2011-143336,Second Class,ZD-21925,West,Consumer,Office Supplies,Art,Newell 341,OFF-AR-10003056,2,8.56,0,2.4824
CA-2011-143336,Second Class,ZD-21925,West,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,TEC-PH-10001949,3,213.48,0.2,16.011
CA-2011-143336,Second Class,ZD-21925,West,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",OFF-BI-10002215,4,22.72,0.2,7.384
CA-2013-137330,Standard Class,KB-16585,Central,Corporate,Office Supplies,Art,Newell 318,OFF-AR-10000246,7,19.46,0,5.0596
CA-2013-137330,Standard Class,KB-16585,Central,Corporate,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",OFF-AP-10001492,7,60.34,0,15.6884
US-2014-156909,Second Class,SF-20065,East,Consumer,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774,2,71.372,0.3,-1.0196
CA-2012-106320,Standard Class,EB-13870,West,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,3,1044.63,0,240.2649
CA-2013-121755,Second Class,EH-13945,West,Consumer,Office Supplies,Binders,Wilson Jones Active Use Binders,OFF-BI-10001634,2,11.648,0.2,4.2224
CA-2013-121755,Second Class,EH-13945,West,Consumer,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,TEC-AC-10003027,3,90.57,0,11.7741
US-2012-150630,Standard Class,TB-21520,East,Consumer,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834,7,3083.43,0.5,-1665.0522
US-2012-150630,Standard Class,TB-21520,East,Consumer,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,OFF-BI-10000474,2,9.618,0.7,-7.0532
US-2012-150630,Standard Class,TB-21520,East,Consumer,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",FUR-FU-10004848,3,124.2,0.2,15.525
US-2012-150630,Standard Class,TB-21520,East,Consumer,Office Supplies,Envelopes,Poly String Tie Envelopes,OFF-EN-10001509,2,3.264,0.2,1.1016
US-2012-150630,Standard Class,TB-21520,East,Consumer,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",OFF-AR-10004042,6,86.304,0.2,9.7092
US-2012-150630,Standard Class,TB-21520,East,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",OFF-BI-10001525,6,6.858,0.7,-5.715
US-2012-150630,Standard Class,TB-21520,East,Consumer,Office Supplies,Art,Lumber Crayons,OFF-AR-10001683,2,15.76,0.2,3.546
CA-2014-107727,Second Class,MA-17560,Central,Home Office,Office Supplies,Paper,Easy-staple paper,OFF-PA-10000249,3,29.472,0.2,9.9468
CA-2013-117590,First Class,GH-14485,Central,Corporate,Technology,Phones,GE 30524EE4,TEC-PH-10004977,7,1097.544,0.2,123.4737
CA-2013-117590,First Class,GH-14485,Central,Corporate,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664,5,190.92,0.6,-147.963
CA-2012-117415,Standard Class,SN-20710,Central,Home Office,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",OFF-EN-10002986,9,113.328,0.2,35.415
CA-2012-117415,Standard Class,SN-20710,Central,Home Office,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545,3,532.3992,0.32,-46.9764
CA-2012-117415,Standard Class,SN-20710,Central,Home Office,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218,3,212.058,0.3,-15.147
CA-2012-117415,Standard Class,SN-20710,Central,Home Office,Technology,Phones,Plantronics HL10 Handset Lifter,TEC-PH-10000486,4,371.168,0.2,41.7564
CA-2014-120999,Standard Class,LC-16930,Central,Corporate,Technology,Phones,Panasonic Kx-TS550,TEC-PH-10004093,4,147.168,0.2,16.5564
CA-2013-101343,Standard Class,RA-19885,West,Corporate,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",OFF-ST-10003479,2,77.88,0,3.894
CA-2014-139619,Standard Class,ES-14080,South,Corporate,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",OFF-ST-10003282,2,95.616,0.2,9.5616
CA-2013-118255,First Class,ON-18715,Central,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",TEC-AC-10000171,2,45.98,0,19.7714
CA-2013-118255,First Class,ON-18715,Central,Corporate,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,OFF-BI-10003291,2,17.46,0,8.2062
CA-2011-146703,Second Class,PO-18865,Central,Consumer,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",OFF-ST-10001713,4,211.96,0,8.4784
CA-2013-169194,Standard Class,LH-16900,East,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TEC-AC-10002167,3,45,0,4.95
CA-2013-169194,Standard Class,LH-16900,East,Consumer,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",TEC-PH-10003988,2,21.8,0,6.104
CA-2012-115742,Standard Class,DP-13000,Central,Consumer,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",OFF-BI-10004410,6,38.22,0,17.9634
CA-2012-115742,Standard Class,DP-13000,Central,Consumer,Office Supplies,Labels,Avery 485,OFF-LA-10002762,6,75.18,0,35.3346
CA-2012-115742,Standard Class,DP-13000,Central,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,FUR-FU-10001706,2,6.16,0,2.9568
CA-2012-115742,Standard Class,DP-13000,Central,Consumer,Furniture,Chairs,"Global Leather Task Chair, Black",FUR-CH-10003061,1,89.99,0,17.0981
CA-2013-105816,Standard Class,JM-15265,East,Corporate,Office Supplies,Fasteners,Advantus Push Pins,OFF-FA-10000304,7,15.26,0,6.2566
CA-2013-105816,Standard Class,JM-15265,East,Corporate,Technology,Phones,AT&T CL83451 4-Handset Telephone,TEC-PH-10002447,5,1029.95,0,298.6855
CA-2013-111682,First Class,TB-21055,East,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,OFF-ST-10000604,6,208.56,0,52.14
CA-2013-111682,First Class,TB-21055,East,Consumer,Office Supplies,Paper,Xerox 232,OFF-PA-10001569,5,32.4,0,15.552
CA-2013-111682,First Class,TB-21055,East,Consumer,Furniture,Chairs,Novimex Turbo Task Chair,FUR-CH-10003968,5,319.41,0.1,7.098
CA-2013-111682,First Class,TB-21055,East,Consumer,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",OFF-PA-10000587,2,14.56,0,6.9888
CA-2013-111682,First Class,TB-21055,East,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TEC-AC-10002167,2,30,0,3.3
CA-2013-111682,First Class,TB-21055,East,Consumer,Office Supplies,Binders,Plastic Binding Combs,OFF-BI-10001460,4,48.48,0.2,16.362
CA-2013-111682,First Class,TB-21055,East,Consumer,Office Supplies,Art,Prang Dustless Chalk Sticks,OFF-AR-10001868,1,1.68,0,0.84
CA-2012-135545,Standard Class,KM-16720,West,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",TEC-AC-10004633,2,13.98,0,6.1512
CA-2012-135545,Standard Class,KM-16720,West,Consumer,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",OFF-BI-10001078,6,25.824,0.2,9.3612
CA-2012-135545,Standard Class,KM-16720,West,Consumer,Office Supplies,Paper,Xerox 1943,OFF-PA-10003892,3,146.73,0,68.9631
CA-2012-135545,Standard Class,KM-16720,West,Consumer,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,FUR-FU-10000397,4,79.76,0,22.3328
US-2012-164175,Standard Class,PS-18970,Central,Home Office,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",FUR-CH-10001146,5,213.115,0.3,-15.2225
CA-2011-106376,Standard Class,BS-11590,West,Corporate,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",OFF-AR-10002671,8,1113.024,0.2,111.3024
CA-2011-106376,Standard Class,BS-11590,West,Corporate,Technology,Phones,netTALK DUO VoIP Telephone Service,TEC-PH-10002726,4,167.968,0.2,62.988
CA-2013-119823,First Class,KD-16270,South,Consumer,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",OFF-PA-10000482,2,75.88,0,35.6636
CA-2013-106075,Standard Class,HM-14980,East,Consumer,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,OFF-BI-10004654,1,4.616,0.2,1.731
CA-2014-114440,Second Class,TB-21520,Central,Consumer,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",OFF-PA-10004675,3,19.05,0,8.763
US-2012-134026,Standard Class,JE-15745,South,Consumer,Furniture,Chairs,High-Back Leather Manager's Chair,FUR-CH-10000513,8,831.936,0.2,-114.3912
US-2012-134026,Standard Class,JE-15745,South,Consumer,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",FUR-FU-10003708,2,97.04,0.2,1.213
US-2012-134026,Standard Class,JE-15745,South,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving System,OFF-ST-10004123,1,72.784,0.2,-18.196
US-2014-118038,First Class,KB-16600,Central,Corporate,Office Supplies,Binders,Economy Binders,OFF-BI-10004182,3,1.248,0.8,-1.9344
US-2014-118038,First Class,KB-16600,Central,Corporate,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",FUR-FU-10000260,3,9.708,0.6,-5.8248
US-2014-118038,First Class,KB-16600,Central,Corporate,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",OFF-ST-10000615,3,27.24,0.2,2.724
US-2011-147606,Second Class,JE-15745,Central,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194,5,19.3,0.6,-14.475
CA-2013-127208,First Class,SC-20770,South,Corporate,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118,1,208.16,0,56.2032
CA-2013-127208,First Class,SC-20770,South,Corporate,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,OFF-BI-10002309,3,16.74,0,8.0352
CA-2011-139451,Standard Class,DN-13690,West,Consumer,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",OFF-AR-10002053,5,14.9,0,4.172
CA-2011-139451,Standard Class,DN-13690,West,Consumer,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",OFF-ST-10002370,1,21.39,0,6.2031
CA-2012-149734,Standard Class,JC-16105,South,Corporate,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,OFF-EN-10000927,7,200.984,0.2,62.8075
US-2014-119662,First Class,CS-12400,Central,Home Office,Office Supplies,Storage,Safco Industrial Wire Shelving,OFF-ST-10003656,3,230.376,0.2,-48.9549
CA-2014-140088,Second Class,PO-18865,South,Consumer,Furniture,Chairs,Novimex Swivel Fabric Task Chair,FUR-CH-10000863,2,301.96,0,33.2156
CA-2014-155558,Standard Class,PG-18895,Central,Consumer,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,TEC-AC-10001998,1,19.99,0,6.7966
CA-2014-155558,Standard Class,PG-18895,Central,Consumer,Office Supplies,Labels,Avery 511,OFF-LA-10000134,2,6.16,0,2.9568
CA-2013-159695,Second Class,GM-14455,Central,Home Office,Office Supplies,Storage,Eldon Portable Mobile Manager,OFF-ST-10003442,7,158.368,0.2,13.8572
CA-2013-109806,Standard Class,JS-15685,West,Corporate,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,OFF-AR-10004930,3,20.1,0,6.633
CA-2013-109806,Standard Class,JS-15685,West,Corporate,Technology,Phones,Panasonic Kx-TS550,TEC-PH-10004093,2,73.584,0.2,8.2782
CA-2013-109806,Standard Class,JS-15685,West,Corporate,Office Supplies,Paper,Xerox 1995,OFF-PA-10000304,1,6.48,0,3.1104
CA-2012-149587,Second Class,KB-16315,Central,Consumer,Office Supplies,Paper,Xerox 1999,OFF-PA-10003177,2,12.96,0,6.2208
CA-2012-149587,Second Class,KB-16315,Central,Consumer,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",FUR-FU-10003799,3,53.34,0,16.5354
CA-2012-149587,Second Class,KB-16315,Central,Consumer,Office Supplies,Binders,Ibico Standard Transparent Covers,OFF-BI-10002852,2,32.96,0,16.1504
US-2014-109484,Standard Class,RB-19705,West,Home Office,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,OFF-BI-10004738,1,5.682,0.7,-3.788
CA-2014-161018,Second Class,PN-18775,East,Home Office,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629,7,96.53,0,40.5426
CA-2014-157833,First Class,KD-16345,West,Consumer,Office Supplies,Binders,Trimflex Flexible Post Binders,OFF-BI-10001721,3,51.312,0.2,17.9592
CA-2013-149223,Standard Class,ER-13855,Central,Corporate,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,OFF-AP-10000358,6,77.88,0,22.5852
CA-2013-158568,Standard Class,RB-19465,Central,Home Office,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,OFF-PA-10003256,7,64.624,0.2,22.6184
CA-2013-158568,Standard Class,RB-19465,Central,Home Office,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,TEC-AC-10001767,3,95.976,0.2,-10.7973
CA-2013-158568,Standard Class,RB-19465,Central,Home Office,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,OFF-BI-10002609,3,1.788,0.8,-3.0396
CA-2013-129903,Second Class,GZ-14470,Central,Consumer,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),OFF-PA-10004040,4,23.92,0,11.7208
US-2012-156867,Standard Class,LC-16870,West,Consumer,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,TEC-AC-10001552,6,238.896,0.2,-26.8758
US-2012-156867,Standard Class,LC-16870,West,Consumer,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",FUR-FU-10004006,3,102.36,0.2,-3.8385
US-2012-156867,Standard Class,LC-16870,West,Consumer,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",OFF-BI-10002794,3,36.882,0.7,-25.8174
CA-2014-119004,Standard Class,JM-15250,South,Consumer,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,TEC-AC-10003499,8,74.112,0.2,17.6016
CA-2014-119004,Standard Class,JM-15250,South,Consumer,Technology,Phones,Speck Products Candyshell Flip Case,TEC-PH-10002844,1,27.992,0.2,2.0994
CA-2014-119004,Standard Class,JM-15250,South,Consumer,Office Supplies,Art,Newell Chalk Holder,OFF-AR-10000390,1,3.304,0.2,1.0738
CA-2012-129476,Standard Class,PA-19060,Central,Home Office,Technology,Accessories,Logitech Gaming G510s - Keyboard,TEC-AC-10000844,5,339.96,0.2,67.992
CA-2014-146780,Standard Class,CV-12805,East,Corporate,Furniture,Furnishings,Magnifier Swing Arm Lamp,FUR-FU-10001934,2,41.96,0,10.9096
CA-2013-128867,Standard Class,CL-12565,Central,Consumer,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",OFF-AR-10000380,2,75.96,0,22.788
CA-2013-128867,Standard Class,CL-12565,Central,Consumer,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",OFF-BI-10003981,6,27.24,0,13.3476
CA-2011-115259,Second Class,RC-19960,East,Consumer,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",OFF-FA-10000621,14,40.096,0.2,14.5348
CA-2011-115259,Second Class,RC-19960,East,Consumer,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",OFF-EN-10002600,2,4.72,0.2,1.652
CA-2011-115259,Second Class,RC-19960,East,Consumer,Office Supplies,Paper,Xerox 1921,OFF-PA-10004965,3,23.976,0.2,7.4925
CA-2011-115259,Second Class,RC-19960,East,Consumer,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",OFF-EN-10002504,6,130.464,0.2,44.0316
CA-2012-110457,Standard Class,DK-13090,West,Consumer,Furniture,Tables,Hon Racetrack Conference Tables,FUR-TA-10001768,3,787.53,0,165.3813
US-2012-136476,Standard Class,GG-14650,South,Corporate,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,OFF-BI-10003650,1,157.794,0.7,-115.7156
CA-2013-103730,First Class,SC-20725,East,Consumer,Furniture,Furnishings,Artistic Insta-Plaque,FUR-FU-10002157,3,47.04,0,18.3456
CA-2013-103730,First Class,SC-20725,East,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,OFF-BI-10003910,4,30.84,0,13.878
CA-2013-103730,First Class,SC-20725,East,Consumer,Office Supplies,Storage,"Companion Letter/Legal File, Black",OFF-ST-10000777,6,226.56,0,63.4368
CA-2013-103730,First Class,SC-20725,East,Consumer,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,OFF-EN-10002500,9,115.02,0,51.759
CA-2013-103730,First Class,SC-20725,East,Consumer,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,TEC-PH-10003875,7,68.04,0,19.7316
US-2011-152030,Second Class,AD-10180,Central,Home Office,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,FUR-CH-10004063,3,600.558,0.3,-8.5794
US-2011-134614,Standard Class,PF-19165,Central,Consumer,Furniture,Tables,Bevis 44 x 96 Conference Tables,FUR-TA-10004534,6,617.7,0.5,-407.682
US-2014-107272,Standard Class,TS-21610,West,Consumer,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",OFF-BI-10003274,2,2.388,0.7,-1.8308
US-2014-107272,Standard Class,TS-21610,West,Consumer,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",OFF-ST-10002974,7,243.992,0.2,30.499
US-2013-125969,Second Class,LS-16975,West,Home Office,Furniture,Chairs,"Global Task Chair, Black",FUR-CH-10001146,2,81.424,0.2,-9.1602
US-2013-125969,Second Class,LS-16975,West,Home Office,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,FUR-FU-10003773,3,238.56,0,26.2416
US-2014-164147,First Class,DW-13585,East,Corporate,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,TEC-PH-10002293,5,59.97,0.4,-11.994
US-2014-164147,First Class,DW-13585,East,Corporate,Office Supplies,Paper,Xerox 1916,OFF-PA-10002377,2,78.304,0.2,29.364
US-2014-164147,First Class,DW-13585,East,Corporate,Office Supplies,Fasteners,Staples,OFF-FA-10002780,9,21.456,0.2,6.9732
CA-2013-145583,Standard Class,LC-16885,West,Consumer,Office Supplies,Paper,Xerox 195,OFF-PA-10001804,3,20.04,0,9.6192
CA-2013-145583,Standard Class,LC-16885,West,Consumer,Office Supplies,Paper,Xerox 1880,OFF-PA-10001736,1,35.44,0,16.6568
CA-2013-145583,Standard Class,LC-16885,West,Consumer,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",OFF-AR-10001149,4,11.52,0,3.456
CA-2013-145583,Standard Class,LC-16885,West,Consumer,Office Supplies,Fasteners,Ideal Clamps,OFF-FA-10002988,2,4.02,0,1.9698
CA-2013-145583,Standard Class,LC-16885,West,Consumer,Office Supplies,Binders,GBC Wire Binding Strips,OFF-BI-10004781,3,76.176,0.2,26.6616
CA-2013-145583,Standard Class,LC-16885,West,Consumer,Office Supplies,Supplies,Fiskars Softgrip Scissors,OFF-SU-10001218,6,65.88,0,18.4464
CA-2013-145583,Standard Class,LC-16885,West,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,FUR-FU-10001706,14,43.12,0,20.6976
CA-2013-110366,Second Class,JD-15895,East,Corporate,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",FUR-FU-10004848,2,82.8,0.2,10.35
CA-2014-106180,Standard Class,SH-19975,West,Corporate,Office Supplies,Art,Newell 343,OFF-AR-10000940,3,8.82,0,2.3814
CA-2014-106180,Standard Class,SH-19975,West,Corporate,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,OFF-EN-10004030,3,10.86,0,5.1042
CA-2014-106180,Standard Class,SH-19975,West,Corporate,Office Supplies,Paper,Xerox 1911,OFF-PA-10004327,3,143.7,0,68.976
CA-2014-155376,Standard Class,SG-20080,Central,Consumer,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,OFF-AP-10001058,3,839.43,0,218.2518
CA-2012-110744,Standard Class,HA-14920,West,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving,OFF-ST-10003656,7,671.93,0,20.1579
CA-2011-110072,Standard Class,MG-17680,East,Home Office,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",FUR-FU-10000521,4,93.888,0.2,12.9096
CA-2013-114489,Standard Class,JE-16165,Central,Corporate,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,TEC-PH-10000215,11,384.45,0,103.8015
CA-2013-114489,Standard Class,JE-16165,Central,Corporate,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,TEC-PH-10001448,3,149.97,0,5.9988
CA-2013-114489,Standard Class,JE-16165,Central,Corporate,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,8,1951.84,0,585.552
CA-2013-114489,Standard Class,JE-16165,Central,Corporate,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,OFF-BI-10002735,5,171.55,0,80.6285
CA-2013-158834,First Class,TW-21025,West,Home Office,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,OFF-AP-10000326,5,157.92,0.2,17.766
CA-2013-158834,First Class,TW-21025,West,Home Office,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,TEC-PH-10001254,2,203.184,0.2,15.2388
CA-2012-124919,First Class,SP-20650,West,Corporate,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,OFF-PA-10001950,7,58.38,0,26.271
CA-2012-124919,First Class,SP-20650,West,Corporate,Office Supplies,Paper,Xerox 1883,OFF-PA-10002254,4,105.52,0,48.5392
CA-2012-124919,First Class,SP-20650,West,Corporate,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",OFF-ST-10001590,6,80.88,0,21.0288
CA-2012-118948,Standard Class,NK-18490,West,Home Office,Office Supplies,Art,Newell 311,OFF-AR-10001547,3,6.63,0,1.7901
CA-2011-104269,Second Class,DB-13060,West,Consumer,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,FUR-CH-10004063,2,457.568,0.2,51.4764
CA-2013-114104,Standard Class,NP-18670,Central,Consumer,Office Supplies,Labels,Avery 519,OFF-LA-10002475,2,14.62,0,6.8714
CA-2013-114104,Standard Class,NP-18670,Central,Consumer,Technology,Phones,Avaya 5420 Digital phone,TEC-PH-10004536,7,944.93,0,236.2325
CA-2013-162733,First Class,TT-21070,West,Consumer,Office Supplies,Paper,Xerox 1920,OFF-PA-10002751,1,5.98,0,2.691
CA-2012-119697,Second Class,EM-13960,East,Consumer,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,TEC-AC-10003657,2,54.384,0.2,1.3596
CA-2013-154508,Standard Class,RD-19900,West,Consumer,Office Supplies,Envelopes,Staple envelope,OFF-EN-10001990,5,28.4,0,13.348
